id,name,energy_efficiency,due_date,class,wall_material,n_finish_types,layout_variation,n_floors,n_flats,life_space,av_flat,min_ceiling_height,max_ceiling_height,bike_paths,n_playgrounds,n_sportsgrounds,n_p_s_grounds,n_garbage_sites,n_parking_places,ramp,lowering_platforms,n_wheelchair_lifts,low_mobility_facilities,n_entrances,n_p_lifts,n_f_lifts,n_lifts,lift_ratio,infrastr_access,transport_access,green_areas,air_quality
50878,"п. Металлплощадка, б-р Строителей, д. 71, корпус 7",B,2025Q4,Типовой,Кирпич,1,True,4,50,2223.0,44.46,2.7,2.7,False,1,1,2,1,0,True,True,0,0.5,7,0,0,0,0,5,,,
41995,"ЖК ""Челны Сити""",A+,2024Q3,Комфорт,Кирпич,0,False,27,312,21640.0,69.35897435897436,3.0,3.0,False,2,4,6,3,445,True,True,0,0.5,2,2,4,6,46.800000000000004,8,,,
54453,"ЖК ""Челны Сити""",C,2025Q2,Комфорт,Монолит-кирпич,0,False,21,238,8864.0,37.2436974789916,2.7,2.7,False,2,3,5,3,447,False,True,0,0.5,1,3,0,3,69.13333333333334,8,,,
45490,DOGMA,B,2026Q2,Комфорт,Монолит-кирпич,1,False,17,856,35071.0,40.970794392523366,2.72,3.02,False,4,5,9,7,826,True,True,0,0.5,5,5,5,10,72.00470588235294,5,,,
45491,DOGMA,B,2026Q2,Комфорт,Монолит-кирпич,1,False,17,666,27103.0,40.6951951951952,2.72,3.02,False,4,5,9,7,693,True,True,0,0.5,4,4,4,8,70.02794117647059,6,,,
50117,"ЖК ""DOLCE VITA""",A,2025Q4,Комфорт,Монолит-кирпич,0,True,22,176,8832.0,50.18181818181818,3.0,3.0,True,3,1,4,4,339,True,True,0,0.5,1,2,1,3,51.46666666666667,7,,,
50118,"ЖК ""DOLCE VITA""",A,2025Q4,Комфорт,Монолит-кирпич,0,True,21,169,8493.0,50.25443786982248,3.0,3.0,True,3,1,4,4,332,True,True,0,0.5,1,2,1,3,49.09047619047619,7,,,
40642,ЖК Городские сады,B,2024Q4,Комфорт,Монолит-кирпич,1,False,20,387,23290.0,60.18087855297158,2.7,3.32,False,1,1,2,1,124,True,True,0,0.5,3,0,9,9,37.195,6,,,
46437,"ЖК ""Радуга Сибири""",B,2024Q4,Типовой,Монолит-кирпич,0,False,18,571,24707.0,43.269702276707534,2.64,2.8,False,1,1,2,1,288,True,True,8,0.5,4,0,8,8,60.66875,6,2.0,,
56382,"ЖК ""Радуга Сибири""",B,2025Q2,Типовой,Монолит-кирпич,1,False,18,570,24715.0,43.35964912280702,2.64,2.8,False,1,1,2,1,287,True,True,0,0.5,4,4,4,8,60.5625,8,5.0,,
