id,Название,Класс энергетической эффективности,Ввод в эксплуатацию,Класс недвижимости,Материал стен,Тип отделки,Свободная планировка,Количество этажей,Количество квартир,"Жилая площадь, м²","Высота потолков, м",Велосипедные дорожки,Количество детских площадок,Количество спортивных площадок,Количество площадок для сбора мусора,Количество мест в паркинге,Гостевые места на придомовой территории,Гостевые места вне придомовой территории,Наличие пандуса,Наличие понижающих площадок,Количество инвалидных подъемников,Количество подъездов,Количество пассажирских лифтов,Количество грузовыхи грузопассажирских лифтов,Индекс доступности инфраструктуры,Количество спортивныхплощадок,Наличие понижающихплощадок,Доступность инфраструктуры,Транспортная доступность,Индекс транспортной доступности,Зеленые зоны,Качество воздуха,Индекс зеленой зоны,Индекс качества воздуха
50878,"п. Металлплощадка, б-р Строителей, д. 71, корпус 7",B,IV кв. 2025,Типовой,Кирпич,1 вариант,Есть,4,50,2 223,"2,7",Нет,1,1,1,Нет,Нет,Нет,Есть,Есть,Нет,7,Нет,Нет,5,,,,,,,,,
41996,"ЖК ""Челны Сити""",Не нормируется,III кв. 2024,Комфорт,Монолит-кирпич,Нет,Нет,8,Нет,Нет,Нет,Нет,2,,3,296,296,Нет,Есть,,Нет,-,1,Нет,,1,Есть,9,,,,,,
45490,DOGMA,B,II кв. 2026,Комфорт,Монолит-кирпич,1 вариант,Нет,17,856,35 071,"2,72 - 3,02",Нет,4,5,7,Нет,226,Нет,Есть,Есть,Нет,5,5,5,5,,,,,,,,,
50119,"ЖК ""DOLCE VITA""",A,IV кв. 2025,Комфорт,Монолит-кирпич,Нет,Есть,2,Нет,Нет,Нет,Есть,3,,1,117,117,146,Есть,,Нет,-,Нет,1,,1,Есть,7,,,,,,
40642,ЖК Городские сады,B,IV кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Нет,20,387,23 290,"2,7 - 3,32",Нет,1,1,1,65,59,Нет,Есть,Есть,Нет,3,Нет,9,6,,,,,,,,,
46437,"ЖК ""Радуга Сибири""",B,IV кв. 2024,Типовой,Монолит-кирпич,Нет,Нет,18,571,24 707,"2,64 - 2,8",Нет,1,,1,Нет,288,Нет,Есть,,8,4,Нет,8,,1,Есть,6,2,,,,,
48265,Инстеп.Механизаторов,B,IV кв. 2024,Комфорт,Другое,Нет,Нет,20,601,28 993,"2,64",Нет,1,,1,Нет,231,163,Есть,,Нет,5,5,5,,1,Есть,8,,,,,,
56915,"ЖК ""Скандинавия""",A,IV кв. 2024,Типовой,Другое,1 вариант,Нет,1,1,67,"2,65",Нет,1,1,1,Нет,2,2,Есть,Есть,Нет,1,Нет,Нет,1,,,,,,,,,
47905,"г. Новосибирск, район Октябрьский р-н, ул Владимира Заровного, блок-секция 1-2",B,III кв. 2024,Комфорт,Монолит-кирпич,1 вариант,Есть,20,244,13 570,"2,85",Есть,7,2,3,Нет,142,308,Нет,Есть,Нет,2,Нет,8,8,,,,,6,,,,
49041,г. Владикавказ,D,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Есть,10,127,8 302,"2,85",Нет,3,2,1,Нет,67,22,Есть,Есть,1,2,1,2,7,,,,,,,,,
50249,Курортный комплекс Лучистое,C,IV кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,16,124,4 627,"2,7 - 3",Нет,Нет,,Нет,Нет,12,Нет,Нет,,Нет,1,2,Нет,,Нет,Есть,5,,,,,,
41882,ЖК GREEN TOWN,A+,II кв. 2024,Типовой,Монолит,1 вариант,Нет,5,59,3 173,"2,74",Нет,1,,3,Нет,Нет,157,Нет,,3,3,Нет,Нет,,2,Есть,3,,,,,,
54311,г. Йошкар-Ола,C,II кв. 2025,Комфорт,Кирпич,1 вариант,Нет,11,35,2 645,"2,7",Нет,1,1,1,Нет,32,Нет,Есть,Есть,1,1,1,Нет,8,,,,,,,,,
48787,Комплекс апартаментов МИРАПОЛИС ,B,II кв. 2026,Бизнес,Другое,1 вариант,Нет,36,Нет,Нет,Нет,Нет,Нет,,1,608,608,Нет,Нет,,2,-,28,1,,Нет,Есть,8,4,,9,,,
55418,"п. Металлплощадка, Ограниченный ул. Ворошилова, б-р Строителей, проездом 142, проездом Южный, д. 8",B,IV кв. 2025,Типовой,Кирпич,1 вариант,Есть,4,29,1 323,"2,7",Нет,Нет,Нет,1,Нет,Нет,Нет,Есть,Есть,Нет,4,Нет,Нет,6,,,,,,,,,
54433,"ПАРК-КВАРТАЛ ""КОРОЛЁВ""",A++,IV кв. 2026,Типовой,Монолит-кирпич,1 вариант,Нет,16,156,8 861,"2,7 - 3",Нет,1,1,1,Нет,11,Нет,Есть,Есть,Нет,2,4,4,10,,,,,,,,,
52853,Микрорайон Заречье,B,II кв. 2025,Типовой,Кирпич,Нет,Нет,11,203,9 614,"2,7",Нет,4,,2,Нет,Нет,Нет,Есть,,2,2,2,2,,2,Есть,4,,,,,,
54491,"д. Алтуховка, д. 12, блок-секция 3,4",C,IV кв. 2025,Комфорт,Кирпич,Нет,Нет,11,80,4 517,"2,5 - 2,8",Нет,1,Нет,Нет,Нет,24,16,Есть,Есть,Нет,2,2,Нет,1,,,,,,,,,
49310,Жилой комплекс Композитор,C,I кв. 2025,Комфорт,Кирпич,1 вариант,Нет,17,224,11 459,"2,65",Нет,1,,1,Нет,14,101,Есть,,Нет,2,4,Нет,,1,Есть,8,,,,,,
56702,"Ул. Кечил-оола, 79, II Этап Тип 2",A++,IV кв. 2026,Комфорт,Блоки,1 вариант,Нет,11,64,2 530,"2,7",Нет,1,1,1,Нет,Нет,10,Есть,Есть,Нет,1,1,Нет,7,,,,,,,,,
55053,Морелло,Не нормируется,III кв. 2026,Бизнес,Монолит-кирпич,Нет,Нет,1,Нет,Нет,Нет,Нет,Нет,Нет,Нет,89,Нет,Нет,Нет,Нет,Нет,-,Нет,4,3,,,,,,,,,
51124,"Жилой комплекс ""История 2""",B,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,8,96,4 234,"2,7",Нет,1,,1,Нет,11,Нет,Нет,,Нет,2,2,2,,1,Есть,5,,,,,,
56649,"г. Нефтекамск, ул Декабристов, д. 5В, вл. дом",B,I кв. 2025,Комфорт,Кирпич,1 вариант,Нет,11,70,4 060,"2,7",Нет,1,1,1,Нет,43,Нет,Есть,Есть,Нет,2,2,Нет,8,,,,,,,,,
50619,"мкр Белый хутор (поселок Западный), район Сосновский, улица Береговая, д. 2",B,III кв. 2024,Типовой,Панель,Нет,Нет,7,174,8 010,"2,6",Нет,1,,1,Нет,Нет,Нет,Есть,,Нет,7,7,Нет,,2,Есть,4,,,,,,
47633,"Жилой комплекс ""На Северной""",B,IV кв. 2024,Типовой,Кирпич,1 вариант,Нет,12,60,3 040,"2,5",Нет,Нет,,Нет,Нет,19,Нет,Нет,,Нет,1,Нет,1,,Нет,Есть,7,,,,,,
49490,"ЖК ""ДОЛЬЧЕ ВИТА""",B,II кв. 2024,Комфорт,Кирпич,1 вариант,Нет,6,44,2 084,3,Нет,1,,2,Нет,42,Нет,Есть,,Нет,1,Нет,1,,1,Есть,1,,,,,,
50916,"ЖК ""Вечера""",Не нормируется,I кв. 2026,Типовой,Другое,1 вариант,Нет,1,Нет,Нет,Нет,Есть,1,1,1,77,13,Нет,Нет,Есть,Нет,-,Нет,Нет,9,,,,,,,,,
56895,Квартал в Гагаринском парке,C,IV кв. 2025,Типовой,Другое,1 вариант,Нет,12,54,4 117,"2,73 - 3,03",Нет,2,2,3,Нет,17,Нет,Есть,Есть,Нет,1,Нет,1,6,,,,,,,,,
48873,"Микрорайон ""Теплые Края""",Не нормируется,IV кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,6,Нет,Нет,Нет,Есть,2,,3,497,28,Нет,Нет,,Нет,-,Нет,1,,2,Есть,3,,,,,,
53976,Жилой комплекс СУББОТА,A,IV кв. 2025,Комфорт,Монолит,1 вариант,Нет,20,329,14 622,"2,8",Нет,2,5,1,Нет,38,93,Есть,Есть,2,1,3,9,8,,,,,,,,,
55614,Мкр. имени Рокоссовского,B,II кв. 2025,Типовой,Панель,1 вариант,Нет,20,98,4 124,"2,7 - 3,05",Нет,3,1,1,Нет,86,Нет,Есть,Есть,Нет,1,2,Нет,5,,,,,,,,,
49724,Город оружейников.Жилой дом 19,B,I кв. 2025,Комфорт,Монолит-кирпич,1 вариант,Нет,11,218,9 193,"2,6",Нет,5,,3,Нет,105,Нет,Есть,,Нет,2,2,Нет,,10,Есть,7,,,,,,
51451,"г. Киров, ул Полевая, д. 11",C,II кв. 2025,Комфорт,Кирпич,Нет,Нет,15,117,4 897,"2,58",Нет,1,Нет,1,Нет,31,1,Есть,Есть,Нет,1,2,Нет,9,,,,,,,,,
53615,"Загородный квартал ""Премьер Новорижский""",B,I кв. 2026,Бизнес,Монолит-кирпич,1 вариант,Есть,3,10,2 458,3,Нет,10,1,4,Нет,40,Нет,Нет,Есть,Нет,10,Нет,Нет,1,,,,,,,,,
