class,av_flat,min_ceiling_h,parking_ratio,infr_access,lift_ratio
Типовой,44.46,2.7,0.0,5,0.0
Комфорт,69.35897435897436,2.9499999999999993,1.426282051282051,8,46.8
Комфорт,37.2436974789916,2.7,1.8781512605042017,8,69.13333333333334
Комфорт,40.970794392523366,2.72,0.9649532710280374,5,72.00470588235294
Комфорт,40.6951951951952,2.72,1.0405405405405406,6,70.02794117647059
Комфорт,50.18181818181818,2.9499999999999993,1.9261363636363635,7,51.46666666666667
Комфорт,50.25443786982248,2.9499999999999993,1.9644970414201184,7,49.09047619047619
Комфорт,60.18087855297158,2.7,0.3204134366925064,6,37.195
Типовой,43.269702276707534,2.64,0.5043782837127846,6,60.66875
Типовой,43.35964912280702,2.64,0.5035087719298246,8,60.5625
Комфорт,48.24126455906822,2.64,0.6555740432612313,8,51.9865
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,75.92500494731114,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,75.92500494731114,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,75.92500494731114,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,75.92500494731114,2.65,1.9416666666666669,1,0.0
Типовой,75.92500494731114,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Типовой,75.92500494731114,2.65,1.9416666666666669,1,0.0
Комфорт,41.56818181818182,2.9499999999999993,0.4318181818181818,8,34.86153846153846
Типовой,75.92500494731114,2.65,1.9416666666666669,1,0.0
Типовой,67.0,2.65,1.9416666666666669,1,0.0
Комфорт,45.68627450980392,2.9499999999999993,0.5775401069518716,8,80.8775
Комфорт,55.614754098360656,2.85,1.8442622950819672,8,26.3825
Комфорт,65.37007874015748,2.85,0.7952755905511811,7,30.903333333333336
Комфорт,58.75714285714286,2.85,0.7285714285714285,7,34.06666666666666
Комфорт,68.2905982905983,2.85,0.8547008547008547,7,14.235
Комфорт,58.71428571428572,2.9499999999999993,0.0918367346938775,6,16.23125
